ID	Source	Change	Target
NahuatlOmitlan0001	tehuatl amo otinechnextilito nin tlatzotzonal	HON:1, PERSON[IOBJ]:3_SI, PERSON[OBJ]:3_PL, PERSON[SUBJ]:2_PL, PURPOSIVE:NA	nimehuantzitzin amo onoconnextilihqueh nin tlatzotzonal
NahuatlOmitlan0002	quicochtihtoc iconeu	PERSON[OBJ]:3_PL, PERSON[POSS]:NA	quincochtihtoc coconeh
NahuatlOmitlan0003	yehuatl amo quinnexitilis nin tlatzotzonal	PERSON[IOBJ]:NA, PERSON[OBJ]:NA, PERSON[SUBJ]:3_PL, TENSE:PRE_SIM, TRANSITIV:ITR, TYPE:AFF	tetlanextiliah
NahuatlOmitlan0004	amo simi onechpactaya	MOOD:COND	amo simi nechpactisquia
NahuatlOmitlan0005	nehuatl nimitznextilis nin tlatzotzonal	ASPECT:IPFV, PERSON[IOBJ]:1_PL, PERSON[SUBJ]:3_PL, TENSE:PAS_SIM	yehuan otechnextilitoyah nin tlatzotzonal
NahuatlOmitlan0006	quicochtihtoc in conetl	PERSON[POSS]:1_SI, PERSON[SUBJ]:1_SI	niccochtia noconeu
NahuatlOmitlan0007	tocontzacuas mochantzin	HON:NA, MOOD:IMP, PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM, TYPE:NEG	amo xictzacuacan nimochan
NahuatlOmitlan0008	nihnimisqueh ic tocalihtic	ASPECT:PFV, HON:1, MOOD:INT, PERSON[POSS]:1_SI, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM, TYPE:NEG	¿mox amo otonnihnin ic nocalihtic?
NahuatlOmitlan0009	onihnin ic nocalihtic	ASPECT:IPFV, PERSON[POSS]:1_PL, PERSON[SUBJ]:2_PL	onihnimiyah ic tocalihtic
NahuatlOmitlan0010	teh oticchihchiu in tlaxcal	HON:1, PERSON[POSS]:2_SI, PURPOSIVE:VEN, TENSE:PRE_SIM	tehuatzin toconchihchiuaqui motlaxcaltzin
NahuatlOmitlan0011	milauac xiuiqui	PERSON[SUBJ]:3_PL	milauac mauiqueh
NahuatlOmitlan0012	nehuatl nimitznextilis nin tlatzotzonal	ASPECT:PFV, HON:1, PERSON[IOBJ]:3_SI, PERSON[OBJ]:3_PL, PERSON[SUBJ]:2_PL, TENSE:PAS_SIM, TYPE:NEG	nimehuantzitzin amo onoconnextilihqueh nin tlatzotzonal
NahuatlOmitlan0013	nimehuan quixtisquiah nimoprimaria	MOOD:NA, PERSON[POSS]:3_PL, PERSON[SUBJ]:3_PL, TENSE:FUT_SIM, TYPE:NEG	yehuan amo quiquixtisqueh imprimaria
NahuatlOmitlan0014	quipiyas se yolcatl	PERSON[OBJ]:3_PL, PERSON[SUBJ]:1_PL	tiquimpiyasqueh siqui yolcameh
NahuatlOmitlan0015	ticpiya se yolcatl	MOOD:COND, PERSON[SUBJ]:3_PL	ocpiyasquiah se yolcatl 
NahuatlOmitlan0016	oquitzacu ichan	HON:1, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI, TENSE:FUT_SIM	tocontzacuas mochantzin
NahuatlOmitlan0017	nihnimi ic incalihtic	ASPECT:IPFV, PERSON[POSS]:3_SI, PERSON[SUBJ]:1_PL, TENSE:PAS_SIM, TYPE:NEG	amo otinihnintoyah ic icalihtic
NahuatlOmitlan0018	simi tictlasohtlas	PERSON[OBJ]:3_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM	simi niquintlasohtlah
NahuatlOmitlan0019	yehuatl onechnextileh nin tlatzotzonal	HON:1, PERSON[IOBJ]:3_SI, PERSON[OBJ]:3_PL, PERSON[SUBJ]:2_PL, TYPE:NEG	nimehuantzitzin amo onoconnextilihqueh nin tlatzotzonal
NahuatlOmitlan0020	quicochtihtoc in conetl	ASPECT:PFV, PERSON[POSS]:0, TENSE:PAS_SIM, TYPE:NEG	amo occochtito conetl
NahuatlOmitlan0021	onihnin ic nocalihtic	PERSON[POSS]:2_PL, TYPE:NEG	amo onihnin ic nimocalihtic
NahuatlOmitlan0022	quipiyas se yolcatl	ASPECT:DUR, PERSON[SUBJ]:1_SI, TENSE:PRE_SIM, TYPE:NEG	amo nicpixtoc se yolcatl
NahuatlOmitlan0023	simi quipactia	PERSON[OBJ]:2_SI, PERSON[SUBJ]:3_PL	simi mitzpactiah
NahuatlOmitlan0024	ticpiya se yolcatl	PERSON[SUBJ]:3_SI, TENSE:FUT_SIM	quipiyas se yolcatl
NahuatlOmitlan0025	ocpiyasquiah se yolcatl 	ASPECT:PFV, HON:1, MOOD:NA, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM, TYPE:NEG	amo otoconpix se yolcatl
NahuatlOmitlan0026	juan octzicuinaltito in yolcameh	PURPOSIVE:VEN	juan octzicuinaltico in yolcatl
NahuatlOmitlan0027	"huan oquilueh ""quema."""	PERSON[IOBJ]:1_PL, PERSON[SUBJ]:3_PL, TENSE:FUT_SIM, TYPE:NEG	"huan amo techiluisqueh ""quema"""
NahuatlOmitlan0028	onicpiyaya se yolcatl	PERSON[SUBJ]:3_SI, TENSE:FUT_SIM	quipiyas se yolcatl
NahuatlOmitlan0029	oquincochtitoya iconeuan	HON:1, PERSON[POSS]:1_SI, PERSON[SUBJ]:2_SI, TENSE:PRE_SIM, ASPECT:NA	tocomoncochtia noconeuan
NahuatlOmitlan0030	onicpiyaya se yolcatl	PERSON[OBJ]:3_PL, PERSON[SUBJ]:1_PL, TENSE:FUT_SIM	tiquimpiyasqueh siqui yolcameh
NahuatlOmitlan0031	nicpiya se yolcatl	PERSON[SUBJ]:3_SI, TENSE:FUT_SIM	quipiyas se yolcatl
NahuatlOmitlan0032	oquitzacu ichan	MOOD:IMP, PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM, TYPE:NEG	amo xictzacuacan nimochan
NahuatlOmitlan0033	juan quitzicuinaltihtoc in yolcatl	ASPECT:PFV, PERSON[OBJ]:3_PL, PERSON[POSS]:3_SI, TENSE:PAS_SIM, TYPE:NEG	juan amo oquintzicuinalteh iyolcauan
NahuatlOmitlan0034	juan quintzicuinaltis in yolcameh	PERSON[OBJ]:3_SI, TENSE:PRE_SIM	juan quitzicuinaltia in yolcatl
NahuatlOmitlan0035	nehuatl nicnextilia nin tlatzotzonal	ASPECT:PFV, HON:1, PERSON[OBJ]:3_PL, PERSON[SUBJ]:2_PL, TENSE:PAS_SIM, TYPE:NEG	nimehuantzitzin amo onoconnextilihqueh nin tlatzotzonal
NahuatlOmitlan0036	onicpiyaya se yolcatl	ASPECT:DUR, PERSON[SUBJ]:1_PL, TENSE:PRE_SIM	ticpixtoqueh se yolcatl
NahuatlOmitlan0037	amo xictzacuaqui nochan	MOOD:OPT, PERSON[OBJ]:NA, PERSON[POSS]:NA, PERSON[SUBJ]:3_PL, PURPOSIVE:NA, TRANSITIV:ITR, TYPE:AFF	matlatzacuacan
NahuatlOmitlan0038	"huan amo toconiluisquia ""quema"""	MOOD:NA, PERSON[IOBJ]:3_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM, TYPE:AFF	"huan niquimiluiah ""quema"""
NahuatlOmitlan0039	tlapiyatiueh	ASPECT:PFV, PERSON[SUBJ]:1_SI, TENSE:PAS_SIM	otitlapiyatoh
NahuatlOmitlan0040	amo xictzacuacan nimochan	MOOD:NA, PERSON[POSS]:1_SI, PERSON[SUBJ]:1_SI, TYPE:AFF	nictzacua nochan
NahuatlOmitlan0041	quipiyas se yolcatl	ASPECT:DUR, PERSON[SUBJ]:1_PL, TENSE:PRE_SIM	ticpixtoqueh se yolcatl
NahuatlOmitlan0042	tiquimpiyasqueh siqui yolcameh	MOOD:COND, PERSON[OBJ]:3_SI, PERSON[SUBJ]:3_PL	ocpiyasquiah se yolcatl 
NahuatlOmitlan0043	intlacual itzcuimeh simi chiyauac	ASPECT:IPFV, PERSON[POSS]:3_SI, TENSE:PAS_SIM	itlacual itzcuintli ocatca simi chiyauac
NahuatlOmitlan0044	simi quitlasohtla	HON:1, PERSON[SUBJ]:2_SI	simi tocontlasohtla
NahuatlOmitlan0045	yehuatl onechnextileh nin tlatzotzonal	ASPECT:IPFV, PERSON[IOBJ]:1_PL, PERSON[SUBJ]:3_PL	yehuan otechnextilitoyah nin tlatzotzonal
NahuatlOmitlan0046	simi mitzpactiah	ASPECT:PFV, PERSON[OBJ]:3_SI, TENSE:PAS_SIM	simi ocpactihqueh
NahuatlOmitlan0047	tehuatzin otoconquixteh moprimaria	MOOD:IMP, PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM	xoconquixtican nimoprimaria
NahuatlOmitlan0048	juan octzicuinaltito in yolcameh	PURPOSIVE:NA, TENSE:PRE_SIM	juan quitzicuinaltia in yolcatl
NahuatlOmitlan0049	nihnimisqueh ic tocalihtic	ASPECT:IPFV, TENSE:PAS_SIM	onihnimiyah ic tocalihtic
NahuatlOmitlan0050	titzacuatiueh tochantzin	MOOD:IMP, PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL, PURPOSIVE:NA, TENSE:PRE_SIM, TYPE:NEG	amo xictzacuacan nimochan
NahuatlOmitlan0051	simi quipactia	ASPECT:PFV, PERSON[OBJ]:2_SI, TENSE:PAS_SIM	simi omitzpacteh
NahuatlOmitlan0052	juan quitzicuinaltihtoc in yolcatl	PERSON[OBJ]:3_PL, TENSE:FUT_SIM	juan quintzicuinaltis in yolcameh
NahuatlOmitlan0053	"huan niquimiluiah ""quema"""	PERSON[IOBJ]:1_PL	"huan titechoniluiah ""quemah"""
NahuatlOmitlan0054	oquitzacu ichan	PERSON[POSS]:1_SI, PERSON[SUBJ]:1_SI, TENSE:PRE_SIM	nictzacua nochan
NahuatlOmitlan0055	niccochtia noconeu	ASPECT:PFV, PERSON[POSS]:3_SI, PERSON[SUBJ]:3_SI, TENSE:PAS_SIM	occochteh iconeu
NahuatlOmitlan0056	simi nechtlasohtla	ASPECT:IPFV, HON:1, PERSON[OBJ]:1_PL, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM, TYPE:NEG	amo simi otitechontlasohtlaya
NahuatlOmitlan0057	teh oticchihchiu in tlaxcal	PERSON[POSS]:3_SI, PERSON[SUBJ]:3_SI, TENSE:FUT_SIM	quichihchiuas itlaxcal
NahuatlOmitlan0058	tehuatzin toconchihchiuas motlaxcaltzin	HON:NA, MOOD:IMP, TENSE:PRE_SIM	xicchihchiua motlaxcal
NahuatlOmitlan0059	ticpiya se yolcatl	ASPECT:PFV, HON:1, TENSE:PAS_SIM, TYPE:NEG	amo otoconpix se yolcatl
NahuatlOmitlan0060	tiquimpiyasqueh siqui yolcameh	ASPECT:PFV, HON:1, PERSON[OBJ]:3_SI, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM, TYPE:NEG	amo otoconpix se yolcatl
NahuatlOmitlan0061	quincochtihtoc coconeh	PERSON[OBJ]:3_SI, PERSON[SUBJ]:1_PL, PURPOSIVE:VET	ticcochtihtiueh conetl
NahuatlOmitlan0062	nicpiya se yolcatl	ASPECT:DUR, PERSON[SUBJ]:1_PL	ticpixtoqueh se yolcatl
NahuatlOmitlan0063	amo quipiya se yolcatl	ASPECT:DUR, PERSON[SUBJ]:1_PL, TYPE:AFF	ticpixtoqueh se yolcatl
NahuatlOmitlan0064	otontlapiyato	HON:NA, PERSON[SUBJ]:3_PL, TENSE:PRE_SIM	tlapiyatiueh
NahuatlOmitlan0065	quipiyas se yolcatl	ASPECT:PFV, HON:1, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM, TYPE:NEG	amo otoconpix se yolcatl
NahuatlOmitlan0066	intlacual itzcuimeh simi chiyauac	TENSE:FUT_SIM, TYPE:NEG	intlacual itzcuimeh amo isqui simi chiyauac
NahuatlOmitlan0067	simi tocontlasohtla	HON:NA, PERSON[OBJ]:1_PL, PERSON[SUBJ]:2_PL	simi titechtlasohtlah
NahuatlOmitlan0068	amo onihnin ic nimocalihtic	HON:1, MOOD:INT, PERSON[POSS]:1_SI, PERSON[SUBJ]:2_SI	¿mox amo otonnihnin ic nocalihtic?
NahuatlOmitlan0069	"huan maquimiluican ""quema"""	MOOD:NA, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM	"huan niquimiluiah ""quema"""
NahuatlOmitlan0070	onicpiyaya se yolcatl	TENSE:PRE_SIM	nicpiya se yolcatl
NahuatlOmitlan0071	amo otinihnintoyah ic icalihtic	MOOD:COND, PERSON[POSS]:2_SI, PERSON[SUBJ]:3_PL	amo nihnimisquiah ic mocalihtic
NahuatlOmitlan0072	occochteh iconeu	ASPECT:DUR, PERSON[OBJ]:3_PL, PERSON[POSS]:NA, TENSE:PRE_SIM	quincochtihtoc coconeh
NahuatlOmitlan0073	milauac otiualaqueh	MOOD:IMP, PERSON[SUBJ]:3_PL	milauac mauiqueh
NahuatlOmitlan0074	yeh oquinchihchiu in tlaxcalmeh	MOOD:IMP, PERSON[OBJ]:3_SI, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI, TENSE:PRE_SIM	xicchihchiua motlaxcal
NahuatlOmitlan0075	simi tocontlasohtla	HON:NA, PERSON[OBJ]:3_PL, PERSON[SUBJ]:2_PL	simi niquintlasohtlah
NahuatlOmitlan0076	teh oticchihchiu in tlaxcal	PERSON[OBJ]:3_PL, PERSON[SUBJ]:3_SI, PURPOSIVE:VET, TYPE:NEG	yeh amo oquinchihchiuato in tlaxcalmeh
NahuatlOmitlan0077	oquitzacu ichan	MOOD:OPT, PERSON[OBJ]:NA, PERSON[POSS]:NA, PERSON[SUBJ]:3_PL, TENSE:PRE_SIM, TRANSITIV:ITR	matlatzacuacan
NahuatlOmitlan0078	titzacuatiueh tochantzin	ASPECT:PFV, PERSON[OBJ]:NA, PERSON[POSS]:NA, PERSON[SUBJ]:3_PL, PURPOSIVE:NA, TENSE:PAS_SIM, TRANSITIV:ITR, TYPE:NEG	amo otlatzacuqueh
NahuatlOmitlan0079	nihnimisqueh ic tocalihtic	ASPECT:PFV, PERSON[POSS]:2_PL, PERSON[SUBJ]:3_SI, TENSE:PAS_SIM, TYPE:NEG	amo onihnin ic nimocalihtic
NahuatlOmitlan0080	milauac uitseh	ASPECT:DUR, PERSON[SUBJ]:2_SI	milauac tiualatoc
NahuatlOmitlan0081	in tlaxcal mochihchiua	ASPECT:PFV, PERSON[OBJ]:3_PL, TENSE:PAS_SIM	yeh oquinchihchiu in tlaxcalmeh
NahuatlOmitlan0082	simi quitlasohtla	PERSON[OBJ]:1_SI	simi nechtlasohtla
NahuatlOmitlan0083	simi nechtlasohtla	PERSON[OBJ]:3_SI, PERSON[SUBJ]:2_SI, TENSE:FUT_SIM	simi tictlasohtlas
NahuatlOmitlan0084	tinihnimi ic nocalihtic	HON:1, PERSON[POSS]:3_PL, PERSON[SUBJ]:2_PL, TENSE:FUT_SIM, TYPE:NEG	amo nonnihnintosqueh ic incalihtic 
NahuatlOmitlan0085	intlacual itzcuimeh simi chiyauac	PERSON[POSS]:3_SI	itlacual itzcuintli simi chiyauac
NahuatlOmitlan0086	tehuatzin toconchihchiuas motlaxcaltzin	HON:NA, PERSON[POSS]:3_SI, PERSON[SUBJ]:3_SI	quichihchiuas itlaxcal
NahuatlOmitlan0087	amo occochtito conetl	HON:1, PERSON[OBJ]:3_PL, PERSON[POSS]:1_SI, PERSON[SUBJ]:2_SI, TENSE:PRE_SIM, TYPE:AFF	tocomoncochtia noconeuan
NahuatlOmitlan0088	neh nicchichiua in tlaxcal	ASPECT:PFV, PERSON[OBJ]:3_PL, PERSON[SUBJ]:3_SI, PURPOSIVE:VET, TENSE:PAS_SIM, TYPE:NEG	yeh amo oquinchihchiuato in tlaxcalmeh
NahuatlOmitlan0089	intlacual itzcuimeh simi chiyauac	TYPE:NEG	intlacual itzcuimeh amo simi chiyauac
NahuatlOmitlan0090	tocomoncochtia noconeuan	HON:NA, PERSON[OBJ]:3_SI, PERSON[POSS]:NA, PERSON[SUBJ]:1_PL, PURPOSIVE:VET	ticcochtihtiueh conetl
NahuatlOmitlan0091	ticpiya se yolcatl	PERSON[SUBJ]:3_SI, TYPE:NEG	amo quipiya se yolcatl
NahuatlOmitlan0092	simi quitlasohtla	PERSON[OBJ]:1_PL, PERSON[SUBJ]:2_PL	simi titechtlasohtlah
NahuatlOmitlan0093	neh nicchichiua in tlaxcal	HON:1, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI, PURPOSIVE:VEN	tehuatzin toconchihchiuaqui motlaxcaltzin
NahuatlOmitlan0094	amo simi onechpactaya	ASPECT:PFV, PERSON[OBJ]:3_SI, PERSON[SUBJ]:3_PL, TYPE:AFF	simi ocpactihqueh
NahuatlOmitlan0095	tocontzacuas mochantzin	HON:NA, MOOD:IMP, PERSON[POSS]:1_SI, PURPOSIVE:VEN, TENSE:PRE_SIM, TYPE:NEG	amo xictzacuaqui nochan
NahuatlOmitlan0096	quicochtihtoc in conetl	PERSON[SUBJ]:1_PL, PURPOSIVE:VET	ticcochtihtiueh conetl
NahuatlOmitlan0097	ticpixtoqueh se yolcatl	ASPECT:PFV, HON:1, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM, TYPE:NEG	amo otoconpix se yolcatl
NahuatlOmitlan0098	yehuatl onechnextileh nin tlatzotzonal	PERSON[IOBJ]:3_SI, PERSON[SUBJ]:1_SI, TENSE:PRE_SIM	nehuatl nicnextilia nin tlatzotzonal
NahuatlOmitlan0099	onitlapiyacoh	PERSON[SUBJ]:3_PL, PURPOSIVE:VET, TENSE:PRE_SIM	tlapiyatiueh
NahuatlOmitlan0100	nehuatl nimitznextilis nin tlatzotzonal	PERSON[IOBJ]:3_SI, PERSON[SUBJ]:3_SI, TYPE:NEG	yehuatl amo quinnexitilis nin tlatzotzonal
NahuatlOmitlan0101	milauac otiualaqueh	PERSON[SUBJ]:3_PL, TENSE:PRE_SIM	milauac uitseh
NahuatlOmitlan0102	oquincochtitoya iconeuan	ASPECT:PFV, PERSON[OBJ]:3_SI	occochteh iconeu
NahuatlOmitlan0103	yehuatl onechnextileh nin tlatzotzonal	PERSON[SUBJ]:2_SI, PURPOSIVE:VEN, TYPE:NEG	tehuatl amo otinechnextilito nin tlatzotzonal
NahuatlOmitlan0104	"huan amo techiluisqueh ""quema"""	PERSON[IOBJ]:2_PL, PERSON[SUBJ]:1_SI, TENSE:PRE_SIM, TYPE:AFF	"huan nimechiluia ""quema"""
NahuatlOmitlan0105	"huan oquilueh ""quema."""	PERSON[IOBJ]:1_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM	"huan titechoniluiah ""quemah"""
NahuatlOmitlan0106	yeh amo oquinchihchiuato in tlaxcalmeh	PERSON[OBJ]:3_SI, PERSON[POSS]:3_SI, PURPOSIVE:NA, TENSE:FUT_SIM, TYPE:AFF	quichihchiuas itlaxcal
NahuatlOmitlan0107	otontlapiyato	HON:NA, PERSON[SUBJ]:2_PL, PURPOSIVE:VEN	onitlapiyacoh
NahuatlOmitlan0108	nicpiya se yolcatl	PERSON[OBJ]:3_PL, PERSON[SUBJ]:1_PL, TENSE:FUT_SIM	tiquimpiyasqueh siqui yolcameh
NahuatlOmitlan0109	yeh amo quixtihtoc iprimaria	HON:1, MOOD:IMP, PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL, TYPE:AFF	xoconquixtican nimoprimaria
NahuatlOmitlan0110	nehuatl nicnextilia nin tlatzotzonal	ASPECT:DUR, HON:1, PERSON[OBJ]:1_PL, PERSON[SUBJ]:2_SI, TENSE:FUT_SIM	tehuatzin titechimonnextilitos ninqueh tlatzotzonalmeh
NahuatlOmitlan0111	milauac otiualaqueh	MOOD:IMP, PERSON[SUBJ]:3_SI	milauac xiuiqui
NahuatlOmitlan0112	onihnin ic nocalihtic	MOOD:COND, PERSON[POSS]:2_SI, PERSON[SUBJ]:3_PL, TYPE:NEG	amo nihnimisquiah ic mocalihtic
NahuatlOmitlan0113	onihnin ic nocalihtic	PERSON[POSS]:3_PL, PERSON[SUBJ]:1_SI, TENSE:PRE_SIM	nihnimi ic incalihtic
NahuatlOmitlan0114	yeh oquinchihchiu in tlaxcalmeh	PERSON[OBJ]:3_SI, PERSON[POSS]:3_SI, TENSE:FUT_SIM	quichihchiuas itlaxcal
NahuatlOmitlan0115	onicpixqueh se yolcatl	MOOD:COND, PERSON[SUBJ]:3_PL	ocpiyasquiah se yolcatl 
NahuatlOmitlan0116	itlacual itzcuintli ocatca simi chiyauac	PERSON[POSS]:3_PL, TENSE:PRE_SIM, TYPE:NEG	intlacual itzcuimeh amo simi chiyauac
NahuatlOmitlan0117	quicochtihtoc in conetl	PERSON[POSS]:3_SI	quicochtihtoc iconeu
NahuatlOmitlan0118	neh nicchichiua in tlaxcal	MOOD:IMP, PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL	xicchihchiuacan nimotlaxcal
NahuatlOmitlan0119	milauac xiuiqui	ASPECT:DUR, MOOD:NA, PERSON[SUBJ]:2_SI, TENSE:PRE_SIM	milauac tiualatoc
NahuatlOmitlan0120	tocontzacuas mochantzin	HON:NA, PERSON[POSS]:1_SI, PERSON[SUBJ]:1_SI, TENSE:PRE_SIM	nictzacua nochan
NahuatlOmitlan0121	onihnimiyah ic tocalihtic	HON:1, PERSON[POSS]:3_PL, TENSE:FUT_SIM, TYPE:NEG	amo nonnihnintosqueh ic incalihtic 
NahuatlOmitlan0122	yeh oquinchihchiu in tlaxcalmeh	PURPOSIVE:VET, TYPE:NEG	yeh amo oquinchihchiuato in tlaxcalmeh
NahuatlOmitlan0123	juan quitzicuinaltihtoc in yolcatl	ASPECT:NA	juan quitzicuinaltia in yolcatl
NahuatlOmitlan0124	simi mitzpactiah	ASPECT:PFV, PERSON[SUBJ]:3_SI, TENSE:PAS_SIM	simi omitzpacteh
NahuatlOmitlan0125	onicpixqueh se yolcatl	PERSON[SUBJ]:3_SI, TENSE:FUT_SIM	quipiyas se yolcatl
NahuatlOmitlan0126	yeh amo quixtihtoc iprimaria	MOOD:COND, PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL, TYPE:AFF	nimehuan quixtisquiah nimoprimaria
NahuatlOmitlan0127	in tlaxcal mochihchiua	MOOD:IMP, PERSON[OBJ]:3_SI, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI	xicchihchiua motlaxcal
NahuatlOmitlan0128	onicpixqueh se yolcatl	ASPECT:DUR, PERSON[SUBJ]:1_PL, TENSE:PRE_SIM	ticpixtoqueh se yolcatl
NahuatlOmitlan0129	onicpiyaya se yolcatl	PERSON[SUBJ]:2_SI, TENSE:PRE_SIM	ticpiya se yolcatl
NahuatlOmitlan0130	milauac uitseh	MOOD:IMP	milauac mauiqueh
NahuatlOmitlan0131	quichihchiuas itlaxcal	HON:1, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI, PURPOSIVE:VEN, TENSE:PRE_SIM	tehuatzin toconchihchiuaqui motlaxcaltzin
NahuatlOmitlan0132	onicpiyaya se yolcatl	ASPECT:PFV, HON:1, PERSON[SUBJ]:2_SI, TYPE:NEG	amo otoconpix se yolcatl
NahuatlOmitlan0133	simi quipactia	ASPECT:PFV, PERSON[SUBJ]:3_PL, TENSE:PAS_SIM	simi ocpactihqueh
NahuatlOmitlan0134	in tlaxcal mochihchiua	PERSON[OBJ]:3_SI, PERSON[POSS]:3_SI, TENSE:FUT_SIM	quichihchiuas itlaxcal
NahuatlOmitlan0135	juan quitzicuinaltia in yolcatl	ASPECT:PFV, PURPOSIVE:VEN, TENSE:PAS_SIM	juan octzicuinaltico in yolcatl
NahuatlOmitlan0136	nihnimisqueh ic tocalihtic	MOOD:COND, PERSON[POSS]:2_SI, PERSON[SUBJ]:3_PL, TYPE:NEG	amo nihnimisquiah ic mocalihtic
